,198392012,148203120,398201883,128397624,204328712,134923476,398201884,483928124,472839102,200059137,510023654,398201885,204328714,421459000,529309188,632910392,204328716,632819090,198273613,183729101,492102935,200193824,134532780,431928120,419293811,153928301,487283918,130293842,239183840,510023655,200059100,629139425,683929107,619283871,536281920,211920019,584811020,300928193,439281990,182930194,410293817,519287406,150398102,510023656,152680841,187273910,203817902,409287733,167382001,402993019,200059101,400291830,419284023,399201938,200059102,400129385,418830107,187793025,333920198,683929108,510299111,519283016,512778399,392881084,128392735,592820001,127838106,563266727,688391076,199907576,683929109,162839400,90276123,156638199,288301827,683929110,547718294,128394616,567384018,556372917,197263910,201928375,637211294,388492017,211109254,612993712,139920127,577281882,166729835,312938275,355626177,219982731,398477192,394881065,218377462,214462810,298637201,556652918,299930195,463677874,463662810,638281992,388492018
4277731,5,5,5,5,5,4,5,,5,4,5,5,5,4,,,5,5,4,,,,4,1,5,,,2,,5,5,,2,1,,,,,,4,2,,,5,,,,,,,5,,,5,,,,,,2,1,,3,,,,,,,,3,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,5,,1,
91373,4,3,,,,3,,1,3,,,,,3,1,,,2,3,3,,5,,,,,5,,,,,,,4,,,5,2,,,,,,,,,,4,5,,,,,,,,,,4,,4,4,,,,,,,,4,,,,,,,,,4,5,,,,,,,4,,,5,,,,,,1,,1,,,,,
202100,,4,3,,,,2,,,,2,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,5,,,4,,,,,,,,,,,,,,,,,,,3,,,4,,,,,,,,,,,,,,,,,,,3
6520961,5,,3,,,,,3,,,,,4,,,,5,,,,2,,,,3,3,,,,,,3,1,,5,,,,,,,,,,3,,,,,,,,,2,,,,,,1,5,,4,,,,,,,,1,,,5,,2,,,,,3,,,,,4,,,,,,,,,,,,,,4,,,
1085121,,,4,,5,,4,4,3,,4,4,5,4,,3,5,,,,5,5,,3,5,4,5,,5,4,,4,,,,2,5,,,,5,,,4,,,,,,4,,,4,,,,,,,,5,,,5,4,,,,,,,,,,,,,,,5,,,,4,,4,5,,,,,,,,,,,2,4,,5,,
48404,5,,4,,4,,5,5,,5,,,,4,,,,5,,,,,,5,5,4,,,,,,,5,,5,5,4,,2,2,,3,4,,,4,,,,,,2,,,,,,,2,,2,,,,,5,,3,,,,,,5,,,,,,,4,,3,5,4,4,,,,3,3,3,,,,,,,5,,,,
4426615,5,5,4,5,3,4,4,,5,4,,3,4,,3,,3,2,4,4,,4,,2,3,5,,4,,4,,,,3,4,4,5,4,,3,4,2,,4,,4,4,4,,4,,,,,,,,,,,3,,,,,,,,,5,,,2,,1,,,,,5,,,,,,,,,,,,,,,4,2,,,,4,5,,
1033284,,,,,,,,,5,,,,,3,,,,,,,,,,,4,,,,,,,,,,,,,4,5,,,,,,,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
131922,,,4,4,,,4,,,5,,4,,,,,,3,,,,,,,,,,,,,,,2,,,,,,4,5,,,,,,,,,,4,,,,2,5,,,3,,,,,,,,,,,,,,,,,,,,5,5,,,,,5,,,,,,,,,,1,,,5,,,,,,4
5769334,,4,5,,5,,,,,3,,,5,,4,5,4,3,,,3,,,3,,5,,,,,,5,5,,,4,,,,4,,,,,4,,,,,,,4,,4,4,5,,,,3,,,,,4,,,,,,4,,4,,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,,
61399,,1,,2,,,,,,,,,,,,,,,,3,,,2,,,3,,2,,,,,,,,,,,,,,,4,,,5,,2,3,,,,,,,,4,,,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
306725,,5,,,2,,,3,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4,,,,4,,,,,,,,,5,,,,,,,,,5,,5,,,,,,,,,5,,,,,,,,,,,,3,,,,,,,,,,,,,
5254851,5,3,5,,,,4,,,,,3,,,,,,,3,,,,3,,,5,,,,,,5,,,,,,,,3,,,5,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4864820,,,5,,5,,4,2,,,,3,5,,,,5,,,,,,,2,,,,3,,,,5,4,1,2,3,,,,3,,,4,,,,,,,,,,,4,,,,3,,3,,,,,,,,5,,,3,4,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
858949,5,,,5,4,,,,4,,,,4,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,,5,,,,,,,,,,,,,,4,,,5,,,,,,,,4,,5,,,4,,4,,,5,5,,
4074594,,,3,4,3,,4,,,,,2,3,5,3,,,,,5,,,,,,4,,,,,,,1,,,1,,,,,,,,,,,,,,,,3,,2,,,,,,1,,,,,,,,,,,1,,3,,,1,,,,,,,,,,,,4,,,,,,,,,,,,4,,,
262139,,4,,,,,,5,5,,,,,,,,,,,,4,4,,,,5,,,,,,,,,,4,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,5,,,,,,,5,,,,,,,
5172557,5,3,4,,3,,4,,5,4,5,3,5,,3,5,3,,4,,,4,4,4,5,5,,,,4,,4,4,,5,,,,,5,,,,4,4,,4,,,4,,,5,3,,3,,,,4,4,,4,,5,,,,,,3,,,,,3,,,,5,,,,3,5,,,,4,,,,,,3,,3,,,4,,,
63800,5,,5,,,,4,,,,,4,,,,,,,5,,,5,,,,,4,,,,,,,,,,,2,,4,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,5,,,,3,,,,,,,,
1162892,4,3,,5,5,5,5,,,4,,,5,4,,,5,,4,5,,4,5,,,4,,4,,,4,,1,,,5,5,4,,4,5,,,,4,,,4,,,,,,,,,3,,,,,,,,5,,3,,,5,,3,5,,,,,,,,,,,,,,,,,,,4,5,,,,3,,,4,,,
1572236,5,2,,4,4,4,,3,4,4,,,4,,4,,4,,4,4,,,4,2,4,,1,4,,,5,,4,,4,,,,,,4,1,,,,5,,,,,5,,,,,,,,,2,,,,,5,,,,,,3,,,4,5,,,,,,,5,,,5,,,,5,,,5,1,4,5,,,4,,3,,,
628399,5,3,,4,5,,,,,,,,4,,,,5,,,5,,,,,,,,,4,,5,,4,,,4,,,4,3,,3,,,,,,2,,,5,,,,5,,,,,3,,,,,,,,,,,4,,4,,,4,,,,,,,,5,,,,,,,,,,,,,4,,,,,,4
381149,,4,,,,,,,4,,,,,,,,,,,,,3,,,,4,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
269047,,,,,,,,4,,,,,,,,,,,,3,,,3,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790190,4,4,,4,3,5,,4,5,5,,,3,5,,,5,,5,,4,,,,4,,,5,1,,4,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,4,,5,,,3,,,,,,,,,,,,,,,4,,,,5,,,3,,,,,
4484023,3,2,4,4,5,3,2,,,,3,3,5,,,5,4,4,,,,3,5,,,,2,2,1,5,,,1,,,,,,4,4,2,,,3,,3,,,3,,,,,3,,,,,,,,1,,,,,,,,,,,2,,5,,,,4,,,,,,,,,,2,,5,3,,5,,,4,2,,,,2,
59329,,5,,5,,,2,,,,4,,,,,,,,,,4,,,4,1,5,,,5,,,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,,,5,,,,,,,5,,,,,,,5,,,
1175468,,,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,
3974260,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,2,
313885,,,4,,,,4,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103544,,,,4,,,,5,,,,,,,4,5,,4,,,5,,3,,,4,,,5,,,,,,4,5,4,,4,,,,,,,,,,,,,5,,,,,4,,,,,,,5,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,5,,,,,,5,,,,,
253371,,4,,5,,5,,,,,,,,,,,,,3,3,,5,3,,,,,5,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,5,,,,,,,5,4,,,,,,3,,,,,,,,,4,,,4,,,,,,,,3,,,,,,4,,,,4,,,
7915003,4,4,,,,4,,,4,,,,,,,,,,,2,,5,,3,,5,,,,,,3,2,,4,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,5,,2,,,,4,2,,,,4,,,,,,,4,,,,,,,5,4,,,,4,,,,
4063483,,4,3,5,,,4,,,,,,,,,,,,,,,,,,5,,,,4,,,,,5,,4,,,,,,,,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
